group,bitstringSize,algorithm,evaluationFunction,maximumIterations,actualIterations,maximumTheoreticalValue,actualValue,executionTimeMillis
0,10,RHC,FourPeaksEvaluationFunction,1000,64,18.0,18.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,407,18.0,18.0,1
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,3
0,10,RHC,SixPeaksEvaluationFunction,1000,37,18.0,18.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,261,18.0,18.0,1
0,10,GA,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,7.0,1
0,10,SA,FlipFlopEvaluationFunction,1000,658,9.0,9.0,1
0,10,GA,FlipFlopEvaluationFunction,1000,3,9.0,9.0,1
0,10,MIMIC,FlipFlopEvaluationFunction,1000,1,9.0,9.0,2
0,10,RHC,FourPeaksEvaluationFunction,1000,70,18.0,18.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,541,18.0,18.0,1
0,10,GA,FourPeaksEvaluationFunction,1000,2,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,2
0,10,RHC,SixPeaksEvaluationFunction,1000,71,18.0,18.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,5.0,1
0,10,SA,FlipFlopEvaluationFunction,1000,590,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,1,9.0,9.0,0
0,10,MIMIC,FlipFlopEvaluationFunction,1000,1,9.0,9.0,1
0,10,RHC,FourPeaksEvaluationFunction,1000,33,18.0,18.0,1
0,10,SA,FourPeaksEvaluationFunction,1000,9,18.0,18.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,2,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,2
0,10,RHC,SixPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,238,18.0,18.0,1
0,10,GA,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,8.0,1
0,10,SA,FlipFlopEvaluationFunction,1000,749,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,4,9.0,9.0,1
0,10,MIMIC,FlipFlopEvaluationFunction,1000,1,9.0,9.0,2
0,10,RHC,FourPeaksEvaluationFunction,1000,78,18.0,18.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,508,18.0,18.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,SixPeaksEvaluationFunction,1000,31,18.0,18.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,30,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,3,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,8.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,529,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,7,9.0,9.0,1
0,10,MIMIC,FlipFlopEvaluationFunction,1000,2,9.0,9.0,2
0,10,RHC,FourPeaksEvaluationFunction,1000,67,18.0,18.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,538,18.0,18.0,1
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,2,18.0,18.0,2
0,10,RHC,SixPeaksEvaluationFunction,1000,95,18.0,18.0,1
0,10,SA,SixPeaksEvaluationFunction,1000,249,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,2,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,8.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,589,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,1,9.0,9.0,0
0,10,MIMIC,FlipFlopEvaluationFunction,1000,1,9.0,9.0,1
0,10,RHC,FourPeaksEvaluationFunction,1000,48,18.0,18.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,517,18.0,18.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,SixPeaksEvaluationFunction,1000,28,18.0,18.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,501,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,7.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,731,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,1,9.0,9.0,0
0,10,MIMIC,FlipFlopEvaluationFunction,1000,1,9.0,9.0,1
0,10,RHC,FourPeaksEvaluationFunction,1000,83,18.0,18.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,514,18.0,18.0,1
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,RHC,SixPeaksEvaluationFunction,1000,52,18.0,18.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,466,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,3,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,8.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,910,9.0,9.0,1
0,10,GA,FlipFlopEvaluationFunction,1000,2,9.0,9.0,0
0,10,MIMIC,FlipFlopEvaluationFunction,1000,1,9.0,9.0,1
0,10,RHC,FourPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,376,18.0,18.0,1
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,SixPeaksEvaluationFunction,1000,1000,18.0,10.0,1
0,10,SA,SixPeaksEvaluationFunction,1000,160,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,6,18.0,18.0,1
0,10,MIMIC,SixPeaksEvaluationFunction,1000,2,18.0,18.0,2
0,10,RHC,FlipFlopEvaluationFunction,1000,65,9.0,9.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,2,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,4,9.0,9.0,0
0,10,MIMIC,FlipFlopEvaluationFunction,1000,1,9.0,9.0,1
0,10,RHC,FourPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,1000,18.0,10.0,1
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,2,18.0,18.0,1
0,10,RHC,SixPeaksEvaluationFunction,1000,1000,18.0,10.0,1
0,10,SA,SixPeaksEvaluationFunction,1000,494,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,8.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,449,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,4,9.0,9.0,1
0,10,MIMIC,FlipFlopEvaluationFunction,1000,2,9.0,9.0,2
0,10,RHC,FourPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,541,18.0,18.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,MIMIC,FourPeaksEvaluationFunction,1000,70,18.0,18.0,45
0,10,RHC,SixPeaksEvaluationFunction,1000,99,18.0,18.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,361,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,7.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,323,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,3,9.0,9.0,0
0,10,MIMIC,FlipFlopEvaluationFunction,1000,1,9.0,9.0,1
0,10,RHC,FourPeaksEvaluationFunction,1000,28,18.0,18.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,651,18.0,18.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,2,18.0,18.0,1
0,10,RHC,SixPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,502,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,2,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,8.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,952,9.0,9.0,1
0,10,GA,FlipFlopEvaluationFunction,1000,3,9.0,9.0,0
0,10,MIMIC,FlipFlopEvaluationFunction,1000,3,9.0,9.0,2
0,10,RHC,FourPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,78,18.0,18.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,SixPeaksEvaluationFunction,1000,27,18.0,18.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,110,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,6,18.0,18.0,1
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,8.0,1
0,10,SA,FlipFlopEvaluationFunction,1000,407,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,3,9.0,9.0,0
0,10,MIMIC,FlipFlopEvaluationFunction,1000,1,9.0,9.0,1
0,10,RHC,FourPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,575,18.0,18.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,RHC,SixPeaksEvaluationFunction,1000,114,18.0,18.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,181,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,7.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,633,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,1,9.0,9.0,0
0,10,MIMIC,FlipFlopEvaluationFunction,1000,2,9.0,9.0,1
0,10,RHC,FourPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,690,18.0,18.0,1
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,SixPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,133,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,8.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,667,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,1,9.0,9.0,0
0,10,MIMIC,FlipFlopEvaluationFunction,1000,1,9.0,9.0,0
0,10,RHC,FourPeaksEvaluationFunction,1000,35,18.0,18.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,554,18.0,18.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,4,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,RHC,SixPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,518,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,FlipFlopEvaluationFunction,1000,40,9.0,9.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,518,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,5,9.0,9.0,1
0,10,MIMIC,FlipFlopEvaluationFunction,1000,1,9.0,9.0,1
0,10,RHC,FourPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,259,18.0,18.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,SixPeaksEvaluationFunction,1000,112,18.0,18.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,279,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,2,18.0,18.0,1
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,8.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,457,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,1,9.0,9.0,0
0,10,MIMIC,FlipFlopEvaluationFunction,1000,1,9.0,9.0,0
0,10,RHC,FourPeaksEvaluationFunction,1000,1000,18.0,10.0,1
0,10,SA,FourPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,RHC,SixPeaksEvaluationFunction,1000,15,18.0,18.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,279,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,7.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,843,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,1,9.0,9.0,0
0,10,MIMIC,FlipFlopEvaluationFunction,1000,1,9.0,9.0,1
0,10,RHC,FourPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,125,18.0,18.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,RHC,SixPeaksEvaluationFunction,1000,87,18.0,18.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,306,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,2,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,2,18.0,18.0,2
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,7.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,349,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,6,9.0,9.0,1
0,10,MIMIC,FlipFlopEvaluationFunction,1000,1,9.0,9.0,1
0,10,RHC,FourPeaksEvaluationFunction,1000,100,18.0,18.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,302,18.0,18.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,2,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,19,18.0,18.0,12
0,10,RHC,SixPeaksEvaluationFunction,1000,44,18.0,18.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,399,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,7.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,15,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,6,9.0,9.0,1
0,10,MIMIC,FlipFlopEvaluationFunction,1000,1,9.0,9.0,1
0,10,RHC,FourPeaksEvaluationFunction,1000,41,18.0,18.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,52,18.0,18.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,RHC,SixPeaksEvaluationFunction,1000,51,18.0,18.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,531,18.0,18.0,1
0,10,GA,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,8.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,566,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,6,9.0,9.0,1
0,10,MIMIC,FlipFlopEvaluationFunction,1000,1,9.0,9.0,1
0,10,RHC,FourPeaksEvaluationFunction,1000,34,18.0,18.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,474,18.0,18.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,SixPeaksEvaluationFunction,1000,7,18.0,18.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,201,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,7.0,1
0,10,SA,FlipFlopEvaluationFunction,1000,582,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,2,9.0,9.0,0
0,10,MIMIC,FlipFlopEvaluationFunction,1000,1,9.0,9.0,0
0,10,RHC,FourPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,533,18.0,18.0,1
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,SixPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,12,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,2,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,7.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,748,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,1,9.0,9.0,0
0,10,MIMIC,FlipFlopEvaluationFunction,1000,750,9.0,9.0,242
0,10,RHC,FourPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,79,18.0,18.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,RHC,SixPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,536,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,4,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,2,18.0,18.0,1
0,10,RHC,FlipFlopEvaluationFunction,1000,29,9.0,9.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,526,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,1,9.0,9.0,0
0,10,MIMIC,FlipFlopEvaluationFunction,1000,205,9.0,9.0,55
0,10,RHC,FourPeaksEvaluationFunction,1000,99,18.0,18.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,172,18.0,18.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,RHC,SixPeaksEvaluationFunction,1000,23,18.0,18.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,201,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,4,18.0,18.0,1
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,8.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,1000,9.0,8.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,2,9.0,9.0,0
0,10,MIMIC,FlipFlopEvaluationFunction,1000,1,9.0,9.0,1
0,10,RHC,FourPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,75,18.0,18.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,2,18.0,18.0,1
0,10,RHC,SixPeaksEvaluationFunction,1000,52,18.0,18.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,381,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,7.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,558,9.0,9.0,1
0,10,GA,FlipFlopEvaluationFunction,1000,5,9.0,9.0,0
0,10,MIMIC,FlipFlopEvaluationFunction,1000,1,9.0,9.0,0
0,10,RHC,FourPeaksEvaluationFunction,1000,66,18.0,18.0,1
0,10,SA,FourPeaksEvaluationFunction,1000,630,18.0,18.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,3,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,SixPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,8.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,375,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,4,9.0,9.0,0
0,10,MIMIC,FlipFlopEvaluationFunction,1000,5,9.0,9.0,2
0,10,RHC,FourPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,SixPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,396,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,3,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,8.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,553,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,2,9.0,9.0,0
0,10,MIMIC,FlipFlopEvaluationFunction,1000,49,9.0,9.0,17
0,10,RHC,FourPeaksEvaluationFunction,1000,35,18.0,18.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,RHC,SixPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,517,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,6,18.0,18.0,1
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,8.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,89,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,4,9.0,9.0,1
0,10,MIMIC,FlipFlopEvaluationFunction,1000,2,9.0,9.0,0
0,10,RHC,FourPeaksEvaluationFunction,1000,67,18.0,18.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,159,18.0,18.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,RHC,SixPeaksEvaluationFunction,1000,6,18.0,18.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,8.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,191,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,2,9.0,9.0,0
0,10,MIMIC,FlipFlopEvaluationFunction,1000,1,9.0,9.0,0
0,10,RHC,FourPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,576,18.0,18.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,2,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,2,18.0,18.0,0
0,10,RHC,SixPeaksEvaluationFunction,1000,1000,18.0,10.0,0
0,10,SA,SixPeaksEvaluationFunction,1000,569,18.0,18.0,0
0,10,GA,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,SixPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,RHC,FlipFlopEvaluationFunction,1000,1000,9.0,7.0,0
0,10,SA,FlipFlopEvaluationFunction,1000,245,9.0,9.0,0
0,10,GA,FlipFlopEvaluationFunction,1000,1,9.0,9.0,0
0,10,MIMIC,FlipFlopEvaluationFunction,1000,1,9.0,9.0,0
0,10,RHC,FourPeaksEvaluationFunction,1000,42,18.0,18.0,0
0,10,SA,FourPeaksEvaluationFunction,1000,183,18.0,18.0,0
0,10,GA,FourPeaksEvaluationFunction,1000,1,18.0,18.0,0
0,10,MIMIC,FourPeaksEvaluationFunction,1000,1,18.0,18.0,1
0,10,RHC,SixPeaksEvaluationFunction,1000,1000,18.0,10.0,0
